,lat,long
757310,42.11,-72.53
1256324,27.656582,-97.481814
1234986,29.7149,-95.2819
1556097,42.4755,-92.2812
805179,40.6421,-79.7273
849555,39.6956,-105.0341
428260,30.4911,-90.4697
1331983,42.4857,-98.6456
1309387,32.53089,-84.958101
988760,46.450007,-95.12469
570565,45.56,-122.6001
1572134,44.922952,-74.079188
12700,43.5566,-96.8028
680562,34.2619,-118.4587
1506322,47.841211,-122.297249
1641005,43.9009,-88.7135
248723,34.8894,-79.7022
492277,33.6819,-112.0996
200003,35.391374,-78.017414
203539,43.19959,-77.636273
808745,40.3926,-79.9052
1686152,36.1032,-79.8794
189961,41.4114,-71.7465
648393,34.070311,-117.446303
899275,44.759557,-85.616112
1502125,47.2049,-122.316
1149807,27.7901,-80.4784
1339275,41.307407,-96.14642099999999
378166,33.1733,-94.9695
1179514,27.816048,-82.729202
48794,40.8789,-74.1081
684446,33.741059,-116.35643400000001
1457525,39.636563,-75.010014
609629,39.721790000000006,-121.827744
1218935,26.2159,-98.3253
354291,31.5492,-91.3642
473275,41.10094,-81.45528
705459,39.019161,-122.91294199999999
677999,33.9416,-118.1306
1088036,35.832374,-83.973209
1132378,28.141091999999997,-80.67015
245593,48.0215,-114.2266
57389,35.0182,-78.914647
936967,41.4751,-71.7726
145195,34.0217,-86.0495
306946,40.107487,-75.956726
1471014,47.656773,-117.21861299999999
266786,33.893353999999995,-98.607051
655419,35.3172,-120.8333
187377,41.7682,-83.5797
1318275,34.7589,-84.7943
1544705,39.5214,-78.0912
1515878,37.977999,-87.420273
364384,36.7103,-121.6438
608246,35.019664,-120.483456
275953,34.55701,-83.76008
809422,40.4967,-78.8659
413344,47.920244,-97.044974
1409393,38.915448,-77.472883
50354,44.777727,-106.94434
1100787,30.130353000000003,-81.77766700000001
1254097,31.589484000000002,-102.888713
791705,40.279527,-76.91946999999999
1560573,41.857356,-90.185544
830371,38.135232,-105.46257
1199846,47.305271000000005,-111.289198
413941,48.241001000000004,-103.727674
1497157,48.1829,-122.1121
